Player,Team,REC,YDS,TDS,ATT,YDS,TDS,FL,FPTS
DJ Chark Jr.,LAC,37.9,542.6,4.6,0,1.8,0,0.5,100.1
Quentin Johnston,LAC,43.6,544.5,3.4,1.7,6.8,0,0.2,97.3
Darius Slayton,NYG,39.7,569.5,3,0,1.3,0,0.1,94.8
Malachi Corley,NYJ,42.6,482.3,3.3,4.4,29.9,0.2,0.1,92.8
Jermaine Burton,CIN,39.9,507,3.3,0.7,4.3,0,0.4,90.2
Odell Beckham Jr.,MIA,37.4,509.8,3.4,0,2.3,0,0.4,89.7
Jalen McMillan,TB,42.2,502.9,3.2,0.7,7.5,0,0.7,89.7
Troy Franklin,DEN,40.8,516.3,3.1,1,5,0,0.7,89.5
Ricky Pearsall,SF,37.6,485.4,3.5,2.2,14.5,0.1,0.7,88.8
Tyler Boyd,TEN,46.3,500.9,2.4,1.3,7.6,0,0.5,87.7
Roman Wilson,PIT,38.2,496.3,2.9,0.7,10,0,0.4,86.3
Tim Patrick,DEN,35.8,464.2,3.5,0,1.5,0,0.1,85
Jalin Hyatt,NYG,37.7,505.8,2.3,0,0.8,0,0.2,82.7
Jalen Tolbert,DAL,36.9,457.1,3,0,2.3,0,0.2,81.8
Elijah Moore,CLE,37.1,426.6,2.5,4.4,15,0,0.4,76.9
Luke McCaffrey,WAS,36.7,425.6,2.2,2,15.7,0.1,0.1,75.7
Zay Jones,ARI,38.1,403.8,2.7,0.3,3,0,0.5,74.8
Greg Dortch,ARI,38,387.7,2.4,3.2,21.2,0.1,0.1,74.3
Ray-Ray McCloud III,ATL,33.4,343.7,2.6,6.9,46.5,0.2,0.2,72.1
Josh Reynolds,DEN,31.2,405,2.8,0,1.3,0,0.4,72
Andrei Iosivas,CIN,32.4,377.7,2.9,0,3.3,0,0.2,71.4
Jonathan Mingo,CAR,34.5,404.8,2,0,3,0,0.1,69.8
Tre Tucker,LV,31.6,377.1,2.2,0,14,0,0.2,67.9
Treylon Burks,TEN,27.9,370.5,1.8,1.8,18.7,0.1,0.6,62.8
Trey Palmer,TB,26.9,322.2,2,4.2,20.3,0.1,0.2,59.9
Cedrick Wilson Jr.,NO,24.7,308.4,2.6,0.3,2.3,0,0.1,58.8
Devontez Walker,BAL,25.4,311.2,2.3,0,3.5,0,0.1,57.8
Alec Pierce,IND,22.6,341.4,1.9,0,1.3,0,0,56.9
Van Jefferson,PIT,24.1,327,1.9,0,4,0,0.1,56.3
Nelson Agholor,BAL,24.3,306.2,2.2,0,2,0,0.2,56.1
Parker Washington,JAC,27,288.4,2.1,0,6,0,0,55.8
KaVontae Turpin,DAL,18.7,220.3,2.7,8.7,66.9,0.4,0.4,55.7
Cedric Tillman,CLE,24.7,313.3,2,0,1.7,0,0.2,55.3
A.T. Perry,NO,20.4,302.1,2.4,0.3,1.8,0,0,54.7
Javon Baker,NE,25.3,302.7,1.6,0,7.3,0,0.1,53.1
Kalif Raymond,DET,23.7,287.1,1.6,2.2,24.7,0.1,0.2,52.4
Calvin Austin III,PIT,22.9,261,1.5,4.5,36.3,0.1,0.1,50.7
Jalen Nailor,MIN,23.8,296.8,1.5,0,0.3,0,0,50.3
Jauan Jennings,SF,20.8,255,1.7,0,3.3,0,0.1,45.9
Xavier Gipson,NYJ,19.1,218.2,1.6,4.6,32.5,0.2,0.1,44.7
K.J. Osborn,NE,20.3,248.6,1.5,0,2,0,0,43.9
Tutu Atwell,LAR,18.4,242.3,1.2,2.2,14.1,0.1,0.1,42.6
Brandon Johnson,DEN,14.1,189,2.5,0,2.3,0,0,40.9
Noah Brown,HOU,15.4,212.9,1.4,0,1,0,0.1,37.6
Lil'Jordan Humphrey,DEN,12,155.3,2.6,0,0,0,0,37
Trenton Irwin,CIN,16.1,206.5,1.4,0,1.5,0,0,37
Parris Campbell,PHI,19.4,190,1.3,0.7,5.8,0,0.1,36.8
Jake Bobo,SEA,15,174.1,1.3,4.2,18.5,0.2,0.1,35.2
Quez Watkins,PIT,14,196,1,0,5,0,0,33.1
KhaDarel Hodge,ATL,14.4,191.2,1.2,0,0,0,0.2,33
Bub Means,NO,15.1,183.1,1.2,0,0,0,0.1,33
Mack Hollins,BUF,12.8,165,1.2,0,0,0,0,29.8
Dyami Brown,WAS,12.7,167.5,0.9,0,1,0,0.1,28.5
Kadarius Toney,KC,11,121.6,0.8,7.5,44.5,0.2,0.1,28.5
Brandon Powell,MIN,14.4,144.1,0.9,1.9,14.6,0,0.1,28.2
Justin Watson,KC,11.3,158.7,1.1,0,0,0,0.1,28.2
Cornelius Johnson,LAC,11,166,1,0,0,0,0,28.1
Marquez Valdes-Scantling,BUF,10,156.1,1.2,0,1,0,0,27.6
Malik Washington,MIA,11.7,145,0.9,2.1,13.3,0.1,0,27.1
Allen Lazard,NYJ,11.2,146.6,1.1,0,0.7,0,0.1,26.8
Ryan Flournoy,DAL,12,141.2,1.1,0,0,0,0,26.5
Jamari Thrash,CLE,11,141,1,0,6,0,0,26.2
Brenden Rice,LAC,11,138,1,0,4,0,0,25.7
Jacob Cowing,SF,11,134,1,0,6,0,0,25.5
Mason Tipton,NO,12,131,1,0,0,0,0,25.1
Tahj Washington,MIA,11,131,1,0,0,0,0,24.6
Marcus Rosemy-Jacksaint,WAS,10,126,1,0,6,0,0,24.2
Casey Washington,ATL,10.7,128.8,1,0,0,0,0,24.1
Nikko Remigio,KC,10,130,1,0,0,0,0,24
Tejhaun Palmer,ARI,11,122,1,0,0,0,0,23.7
Jordan Whittington,LAR,10.8,129.5,0.9,0,0,0,0,23.6
Ainias Smith,PHI,10.4,128.3,0.9,0,3,0,0,23.5
Devaughn Vele,DEN,10,123,1,0,0,0,0,23.3
Tyler Scott,CHI,9.5,107.8,0.9,2.1,18.2,0.1,0,22.7
Russell Gage,BAL,10,114,1,0,3,0,0,22.7
Johnny Wilson,PHI,10.2,121.4,0.7,0,2.5,0,0,21.9
Jamison Crowder,WAS,13,126.6,0.5,0,0,0,0.2,21.9
Derius Davis,LAC,8.2,93.8,0.7,6.7,38.6,0.1,0.1,21.7
Jalen Guyton,LV,7.5,103.5,0.6,6,25,0.2,0.1,21.2
Donovan Peoples-Jones,DET,8.8,120.1,0.7,0,1.3,0,0,20.5
Nick Westbrook-Ikhine,TEN,8.9,118.6,0.7,0,1.3,0,0.1,20.3
Trent Sherfield Sr.,MIN,9.3,114.7,0.7,0,1.3,0,0,20.1
Skyy Moore,KC,8.7,101.5,0.8,0,3,0,0.1,19.4
Danny Gray,SF,7,94,1,0,4,0,0,19.3
Isaiah Hodgins,NYG,8.7,108.9,0.6,0,2,0,0,18.9
Mecole Hardman Jr.,KC,7.6,96.4,0.7,0,13,0,0,18.8
D.J. Montgomery,IND,8.8,105.3,0.6,0,3,0,0,18.7
Xavier Hutchinson,HOU,7.9,98.5,0.6,0,9.5,0,0,18.2
Robbie Chosen,SF,7.6,89.5,0.8,0,2,0,0,17.7
Allen Robinson II,NYG,9.1,89,0.7,0,2,0,0,17.7
Rakim Jarrett,TB,7.8,97.3,0.6,0,5,0,0,17.7
David Moore,CAR,7.5,100.6,0.6,0,1.7,0,0.1,17.5
Olamide Zaccheaus,WAS,7.2,96.4,0.6,0,2.5,0,0,17
Isaiah McKenzie,NYG,9,80.1,0.5,1.9,10.1,0.1,0.1,17
Devin Duvernay,JAC,8.1,82.5,0.4,3.3,16.9,0.1,0.1,16.8
Robert Woods,HOU,8.3,86.8,0.6,0,2,0,0,16.8
Anthony Gould,IND,7.6,89.4,0.7,0,0,0,0,16.7
David Bell,CLE,8.4,90.2,0.6,0,1.3,0,0,16.7
Chris Moore,ARI,7.1,88,0.6,0,5,0,0,16.4
Braxton Berrios,MIA,8.2,79.4,0.5,0,2.7,0,0,15.3
John Metchie III,HOU,6.9,81.6,0.5,0,2.7,0,0,15
Nsimba Webster,CHI,6.9,80.6,0.6,0,0,0,0,15
Justyn Ross,KC,6.1,77.1,0.7,0,0,0,0,15
Jason Brownlee,NYJ,6.3,78.6,0.6,0,1.5,0,0,14.7
Tyquan Thornton,NE,6.1,76.7,0.6,0,4,0,0,14.6
Ronnie Bell,SF,6.3,76,0.6,0,2,0,0,14.5
Kayshon Boutte,NE,6.3,78.6,0.5,0,2.5,0,0,14.4
Jalen Brooks,DAL,6.4,75.9,0.6,0,0,0,0.1,14.2
Ashton Dulin,IND,6.1,70.5,0.6,0,2,0,0,14
KJ Hamler,BUF,5.4,74.4,0.6,0,2.5,0,0,13.9
Deonte Harty,BAL,5.8,70.7,0.6,0,5,0,0,13.8
Sterling Shepard,TB,7,71.4,0.5,0,0,0,0.1,13.8
Charlie Jones,CIN,6.2,76.3,0.5,0,1.7,0,0,13.7
Laviska Shenault Jr.,SEA,5.8,61.5,0.2,3.2,28.9,0.1,0.1,13.6
Bo Melton,GB,5.9,69,0.5,1,6.3,0,0.1,13.4
Michael Woods II,CLE,5.3,68.9,0.6,0,2,0,0,13.2
Zach Pascal,ARI,5.2,67.5,0.6,0,2,0,0,13.1
Ben Skowronek,HOU,5.4,65.9,0.6,0,2,0,0,13
Kyle Philips,TEN,6.6,78,0.3,0,0.5,0,0,13
Chris Conley,SF,5.3,65,0.6,0,2,0,0,12.8
Malik Heath,GB,5.4,64.6,0.6,0,1.5,0,0,12.8
Dee Eskridge,SEA,5.3,64.9,0.3,4.3,15.4,0.1,0,12.8
Tim Jones,JAC,4.9,57,0.6,0,2,0,0,11.9
Jalen Reagor,NE,4.6,60.6,0.5,1,5.3,0,0,11.7
