QB,RB1,RB2,WR1,WR2,TE,FLX,K,DEF,W,L,total,team
33.88,5.20,21.1,5.90,15.3,3.40,27.80,7.0,4.0,1,0,123.58,9
10.34,12.90,17.7,10.00,4.2,3.70,3.20,1.0,3.0,0,1,66.04,10
12.68,14.30,10.6,13.40,4.4,19.40,6.00,6.0,15.0,0,1,101.78,1
27.62,24.40,8.0,11.20,10.7,8.80,4.60,16.0,-2.0,1,0,109.32,2
12.90,12.20,25.0,8.70,19.4,5.60,7.50,12.0,2.0,0,1,105.30,3
28.06,18.30,10.2,20.20,21.6,11.80,13.40,8.0,6.0,1,0,137.56,4
27.36,27.40,15.8,11.50,7.1,1.50,21.20,10.0,5.0,0,1,126.86,5
14.56,7.50,19.8,6.60,2.4,15.70,5.20,5.0,10.0,0,1,86.76,6
29.06,6.60,4.6,29.00,1.6,17.80,11.40,7.0,3.0,1,0,110.06,7
24.02,17.30,14.2,10.90,5.8,12.00,13.80,6.0,14.0,1,0,118.02,8
11.98,18.50,26.8,4.10,14.0,21.96,17.90,11.0,3.0,1,0,129.24,9
21.76,14.40,7.8,5.00,9.2,4.30,13.20,8.0,8.0,0,1,91.66,10
8.36,12.80,14.5,4.70,1.6,20.50,7.80,4.0,7.0,0,1,81.26,1
22.32,14.60,4.2,5.40,26.6,2.90,11.10,11.0,5.0,0,1,103.12,2
41.80,4.90,9.0,0.90,0.0,6.50,12.60,19.0,10.0,0,1,104.70,3
15.80,8.00,15.4,6.10,6.9,18.60,8.40,9.0,16.0,1,0,104.20,4
25.88,10.20,21.8,19.60,8.5,22.00,13.60,4.0,24.0,1,0,149.58,5
17.70,2.20,20.0,22.60,12.5,10.60,6.60,11.0,28.0,1,0,131.20,6
24.72,15.90,3.6,16.10,5.4,10.40,10.70,14.0,10.0,1,0,110.82,7
7.14,17.20,17.7,11.70,9.5,12.50,4.70,7.0,-1.0,0,1,86.44,8
11.48,15.30,16.3,5.80,10.4,18.62,7.70,3.0,14.0,1,0,102.60,9
12.42,25.90,5.9,22.40,8.5,3.70,5.50,6.0,19.0,0,1,109.32,10
21.12,6.60,5.5,19.20,13.0,19.10,3.00,2.0,7.0,0,1,96.52,1
19.88,5.40,17.1,7.20,3.3,13.60,7.30,9.0,7.0,0,1,89.78,2
19.04,17.10,11.4,18.40,8.4,4.50,15.90,5.0,5.0,0,1,104.74,3
37.86,9.00,14.0,20.90,5.3,10.60,11.70,13.0,7.0,1,0,129.36,4
5.96,24.70,15.0,4.90,6.0,9.10,11.70,3.0,12.0,1,0,92.36,5
24.18,19.20,19.5,34.00,3.1,6.00,11.40,5.0,14.0,1,0,136.38,6
14.38,7.40,16.2,23.30,11.6,24.90,13.90,6.0,1.0,0,1,118.68,7
28.42,2.50,19.0,35.00,26.5,5.40,9.30,7.0,13.0,1,0,146.12,8
13.02,11.50,17.2,8.90,12.4,3.30,3.80,5.0,0.0,0,1,75.12,9
25.12,16.80,17.6,12.80,4.2,17.10,13.30,11.0,11.0,1,0,128.92,10
13.74,28.00,16.0,24.10,27.6,18.90,9.80,16.0,8.0,1,0,162.14,1
8.74,7.40,7.3,12.90,19.1,7.60,3.70,10.0,2.0,0,1,78.74,2
15.34,1.00,10.9,24.90,2.2,11.90,6.20,8.0,11.0,0,1,91.44,3
16.88,15.80,18.2,8.20,7.5,4.70,6.80,7.0,22.0,0,1,107.08,4
18.90,5.60,18.5,4.70,25.6,10.20,6.90,3.0,8.0,0,1,101.40,5
17.74,2.10,6.0,13.50,6.3,5.30,9.60,3.0,13.0,0,1,76.54,6
22.50,2.20,3.6,12.80,17.7,7.50,7.70,11.0,5.0,1,0,90.00,7
25.70,4.90,6.3,22.60,17.7,3.30,16.70,8.0,8.0,1,0,113.20,8
23.96,18.50,18.8,5.90,1.6,2.80,14.60,6.0,9.0,1,0,101.16,9
17.60,14.80,16.8,5.40,17.9,6.80,18.80,9.0,24.0,1,0,131.10,10
20.44,5.70,19.3,12.00,19.4,7.80,4.70,10.0,1.0,0,1,100.34,1
10.46,10.60,15.9,20.10,6.8,6.30,16.90,13.0,13.0,1,0,113.06,2
30.86,25.80,9.9,14.70,14.9,7.10,3.30,6.0,14.0,1,0,126.56,3
32.24,21.10,8.9,10.10,15.4,4.00,35.40,6.0,1.0,1,0,134.14,4
34.50,13.90,9.3,16.40,20.9,0.70,20.50,4.0,6.0,0,1,126.20,5
17.30,23.40,6.9,15.30,10.9,15.20,5.70,9.0,24.0,0,1,127.70,6
39.66,7.80,9.6,12.20,9.8,13.50,22.00,9.0,12.0,1,0,135.56,7
13.38,7.40,20.1,15.60,14.0,3.40,4.20,8.0,14.0,1,0,100.08,8
14.98,7.00,28.4,15.70,0.7,12.10,7.30,7.0,19.0,0,1,112.18,9
7.82,12.00,15.1,2.60,4.7,9.50,10.20,5.0,14.0,0,1,80.92,10
11.80,6.70,15.8,13.10,5.3,4.40,11.60,3.0,5.0,0,1,76.70,1
29.46,23.80,8.7,20.10,0.0,6.40,15.90,7.0,12.0,0,1,123.36,2
16.06,9.40,22.5,0.00,14.4,14.40,12.90,8.0,20.0,1,0,117.66,3
28.26,3.00,18.7,26.12,7.7,18.70,2.40,7.0,16.0,1,0,127.88,4
16.16,25.90,5.9,10.60,29.8,4.50,22.40,10.0,-2.0,1,0,123.26,5
19.18,19.80,3.7,26.60,3.1,24.50,6.00,14.0,15.0,1,0,131.88,6
25.12,16.40,9.2,15.40,33.8,0.00,25.70,7.0,10.0,1,0,142.62,7
7.98,5.30,24.5,8.30,11.9,8.80,8.50,15.0,19.0,0,1,109.28,8
16.32,26.70,20.8,22.00,14.7,10.10,4.00,7.0,-2.0,0,1,119.62,9
19.20,18.10,12.0,16.40,29.6,18.90,4.50,12.0,-4.0,0,1,126.70,10,
