"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Tank Bigsby","JAC","94.8","319.1","3.1","8.2","55.9","0.2","2.2","57.1"
"Kenneth Gainwell","PHI","62.1","245.9","1.8","16.7","117.6","0.4","1.2","55.8"
"AJ Dillon","GB","64.0","261.2","2.0","10.5","90.0","0.1","0.4","52.2"
"Samaje Perine","DEN","42.0","179.8","1.1","20.1","155.2","0.6","1.1","51.5"
"Justice Hill","BAL","54.0","219.1","1.5","13.9","103.3","0.4","0.8","49.3"
"Carson Steele","KC","64.0","176.5","1.0","15.0","136.5","0.5","0.5","46.8"
"Chase Edmonds","TB","55.5","199.4","1.2","13.7","95.4","0.2","0.1","44.3"
"Audric Estime","DEN","56.6","238.5","1.6","8.7","63.9","0.4","1.1","44.3"
"Eric Gray","NYG","39.6","207.1","1.4","10.8","73.8","0.2","0.1","43.1"
"Dylan Laube","LV","41.7","200.2","1.4","10.5","75.3","0.2","0.1","42.3"
"Royce Freeman","DAL","56.5","228.8","1.5","6.8","47.0","0.3","0.2","41.5"
"Emari Demercado","ARI","31.9","141.6","1.1","16.2","107.1","0.4","0.5","41.4"
"Will Shipley","PHI","36.3","191.2","1.6","7.4","55.5","0.4","0.1","40.2"
"Trey Sermon","IND","44.4","228.5","1.2","6.5","44.5","0.1","0.1","38.3"
"Isaiah Davis","NYJ","65.3","192.8","1.4","6.5","46.9","0.2","0.1","36.4"
"Ty Johnson","BUF","27.1","129.9","0.9","11.1","93.3","0.6","0.2","36.3"
"Deneric Prince","KC","22.5","182.4","1.3","7.2","53.3","0.1","0.0","35.4"
"Evan Hull","IND","34.5","155.4","1.0","9.0","64.3","0.5","0.1","35.3"
"Jordan Mason","SF","33.1","182.9","1.6","4.2","29.0","0.1","0.0","33.0"
"Isaac Guerendo","SF","29.9","167.3","1.3","5.2","43.0","0.1","0.0","31.8"
"Cordarrelle Patterson","PIT","23.7","114.9","0.8","9.6","72.5","0.3","0.1","30.4"
"Kendall Milton","PHI","34.0","145.0","2.0","2.0","25.0","0.0","0.0","30.0"
"Kyle Juszczyk","SF","5.6","20.2","0.1","14.2","136.7","1.1","0.0","29.9"
"Jase McClellan","ATL","32.9","133.9","1.0","5.5","43.9","0.4","0.0","29.0"
"Rasheen Ali","BAL","26.4","149.0","1.2","4.6","35.9","0.1","0.0","28.2"
"Deuce Vaughn","DAL","24.7","105.3","0.9","8.4","63.0","0.4","0.4","28.1"
"Ameer Abdullah","LV","26.8","102.7","0.2","11.8","86.5","0.2","0.1","27.0"
"Chris Rodriguez Jr.","WAS","14.5","119.9","0.9","7.1","50.4","0.2","0.1","26.8"
"Michael Carter","ARI","25.9","113.9","0.8","8.3","54.2","0.1","0.1","26.2"
"Nyheim Hines","CLE","22.9","71.3","0.5","10.8","80.9","0.2","0.1","25.0"
"Andrew Beck","HOU","3.7","9.5","0.7","9.9","87.8","1.5","1.5","24.6"
"Jawhar Jordan","HOU","0.0","134.0","1.0","4.0","30.0","0.0","0.0","24.4"
"DeWayne McBride","MIN","0.0","125.0","1.0","4.0","30.0","0.0","0.0","23.5"
"Blake Watson","DEN","0.0","108.0","1.0","4.0","29.0","0.0","0.0","21.7"
"D'Ernest Johnson","JAC","31.7","113.6","0.5","5.5","39.2","0.1","0.1","21.6"
"Ronnie Rivers","LAR","27.2","109.3","0.7","4.6","33.3","0.1","0.0","21.2"
